Component,Path,Category,Priority,Status,Sprint,Touch_Targets,Virtualization,Modal_Pattern,Header_Pattern,Notes
"MobileLyricsEditor","src/components/lyrics/mobile/MobileLyricsEditor.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenrePicker","src/components/lyrics/shared/GenrePicker.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LyricsEditorToolbar","src/components/lyrics/shared/LyricsEditorToolbar.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MoodPicker","src/components/lyrics/shared/MoodPicker.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SectionTagSelector","src/components/lyrics/shared/SectionTagSelector.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SectionTypePicker","src/components/lyrics/shared/SectionTypePicker.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"StructurePicker","src/components/lyrics/shared/StructurePicker.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"TagBadge","src/components/lyrics/shared/TagBadge.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MelodyMixer","src/components/melody-mixer/MelodyMixer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"StyleKnob","src/components/melody-mixer/StyleKnob.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileActionSheet","src/components/mobile/MobileActionSheet.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileBottomSheet","src/components/mobile/MobileBottomSheet.tsx","Mobile Component","P2","Unified","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileHeaderBar","src/components/mobile/MobileHeaderBar.tsx","Mobile Component","P0","Unified","Sprint 1","Pending","N/A","N/A","N/A",""
"MobileListItem","src/components/mobile/MobileListItem.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobilePageTransition","src/components/mobile/MobilePageTransition.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileSearchBar","src/components/mobile/MobileSearchBar.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileSectionCard","src/components/mobile/MobileSectionCard.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileSlidePanel","src/components/mobile/MobileSlidePanel.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileFormField","src/components/mobile/forms/MobileFormField.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileNumberInput","src/components/mobile/forms/MobileNumberInput.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileSelect","src/components/mobile/forms/MobileSelect.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileSlider","src/components/mobile/forms/MobileSlider.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileTextarea","src/components/mobile/forms/MobileTextarea.tsx","Mobile Component","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ForceGraph","src/components/music-graph/ForceGraph.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GraphFilters","src/components/music-graph/GraphFilters.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GraphOnboarding","src/components/music-graph/GraphOnboarding.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileGraphView","src/components/music-graph/MobileGraphView.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"NodeDetails","src/components/music-graph/NodeDetails.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"TagRecommendations","src/components/music-graph/TagRecommendations.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenerationBridge","src/components/music-lab/GenerationBridge.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PresetBrowser","src/components/music-lab/PresetBrowser.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PresetCard","src/components/music-lab/PresetCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QuickCreate","src/components/music-lab/QuickCreate.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MusicRecognitionDialog","src/components/music-recognition/MusicRecognitionDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"RecognizedTrackActions","src/components/music-recognition/RecognizedTrackActions.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"Breadcrumbs","src/components/navigation/Breadcrumbs.tsx","Navigation","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CollapsibleMenuSection","src/components/navigation/CollapsibleMenuSection.tsx","Navigation","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MenuSearch","src/components/navigation/MenuSearch.tsx","Navigation","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MoreMenuSheet","src/components/navigation/MoreMenuSheet.tsx","Navigation","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QuickActionsBar","src/components/navigation/QuickActionsBar.tsx","Navigation","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"EnhancedGenerationIndicator","src/components/notifications/EnhancedGenerationIndicator.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"NotificationCenter","src/components/notifications/NotificationCenter.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AlertIllustrations","src/components/notifications/smart-alerts/AlertIllustrations.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"FeatureDetailSheet","src/components/notifications/smart-alerts/FeatureDetailSheet.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SmartAlertOverlay","src/components/notifications/smart-alerts/SmartAlertOverlay.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SmartAlertProvider","src/components/notifications/smart-alerts/SmartAlertProvider.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SmartAlertProviderWrapper","src/components/notifications/smart-alerts/SmartAlertProviderWrapper.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"OnboardingOverlay","src/components/onboarding/OnboardingOverlay.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"OnboardingStepCard","src/components/onboarding/OnboardingStepCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"OnboardingTrigger","src/components/onboarding/OnboardingTrigger.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfileSetupOnboarding","src/components/onboarding/ProfileSetupOnboarding.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"TelegramOnboarding","src/components/onboarding/TelegramOnboarding.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"TutorialStep","src/components/onboarding/TutorialStep.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PricingCard","src/components/payment/PricingCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CreditPackageCard","src/components/payments/CreditPackageCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PackageComparisonTable","src/components/payments/PackageComparisonTable.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PaymentHistory","src/components/payments/PaymentHistory.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PaymentMethodSelector","src/components/payments/PaymentMethodSelector.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PaymentSuccessModal","src/components/payments/PaymentSuccessModal.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"StarsPaymentButton","src/components/payments/StarsPaymentButton.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SubscriptionCard","src/components/payments/SubscriptionCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"BundleSizeCard","src/components/performance/BundleSizeCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CoreWebVitalsCard","src/components/performance/CoreWebVitalsCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LighthouseScoresCard","src/components/performance/LighthouseScoresCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MetricsTrend","src/components/performance/MetricsTrend.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PerformanceChart","src/components/performance/PerformanceChart.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PerformanceDashboard","src/components/performance/PerformanceDashboard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AudioVisualizer","src/components/player/AudioVisualizer.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CompactPlayer","src/components/player/CompactPlayer.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DesktopFullscreenPlayer","src/components/player/DesktopFullscreenPlayer.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DoubleTapSeekFeedback","src/components/player/DoubleTapSeekFeedback.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"EnhancedVersionSwitcher","src/components/player/EnhancedVersionSwitcher.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ExpandedPlayer","src/components/player/ExpandedPlayer.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"KaraokeView","src/components/player/KaraokeView.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LyricsPanel","src/components/player/LyricsPanel.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileFullscreenPlayer","src/components/player/MobileFullscreenPlayer.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"NetworkStatusIndicator","src/components/player/NetworkStatusIndicator.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PlaybackControls","src/components/player/PlaybackControls.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PlayerActionsBar","src/components/player/PlayerActionsBar.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PlayerErrorBoundary","src/components/player/PlayerErrorBoundary.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProgressBar","src/components/player/ProgressBar.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QueueItem","src/components/player/QueueItem.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QueuePanel","src/components/player/QueuePanel.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QueueSheet","src/components/player/QueueSheet.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QuickQueueActions","src/components/player/QuickQueueActions.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"UnifiedPlayerControls","src/components/player/UnifiedPlayerControls.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"VersionComparison","src/components/player/VersionComparison.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"VersionSwitcher","src/components/player/VersionSwitcher.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"VolumeControl","src/components/player/VolumeControl.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"WaveformProgressBar","src/components/player/WaveformProgressBar.tsx","Player","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CreatePlaylistDialog","src/components/playlist/CreatePlaylistDialog.tsx","Content","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"EditPlaylistDialog","src/components/playlist/EditPlaylistDialog.tsx","Content","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PlaylistCard","src/components/playlist/PlaylistCard.tsx","Content","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SharePlaylistDialog","src/components/playlist/SharePlaylistDialog.tsx","Content","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"FeatureGate","src/components/premium/FeatureGate.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"UpgradePrompt","src/components/premium/UpgradePrompt.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PresetsManager","src/components/professional/PresetsManager.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfessionalDashboard","src/components/professional/ProfessionalDashboard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QuickAccessPanel","src/components/professional/QuickAccessPanel.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"StatsWidget","src/components/professional/StatsWidget.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"TipsPanel","src/components/professional/TipsPanel.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"WorkflowVisualizer","src/components/professional/WorkflowVisualizer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ImageGeneratorDialog","src/components/profile/ImageGeneratorDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MandatoryProfileSetup","src/components/profile/MandatoryProfileSetup.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfileBio","src/components/profile/ProfileBio.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfileHeader","src/components/profile/ProfileHeader.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfileSetupGuard","src/components/profile/ProfileSetupGuard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfileStats","src/components/profile/ProfileStats.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SocialLinks","src/components/profile/SocialLinks.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"VerificationBadge","src/components/profile/VerificationBadge.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"EnhancedProfileSetup","src/components/profile/setup/EnhancedProfileSetup.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfileProgressIndicator","src/components/profile/setup/ProfileProgressIndicator.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfileSetupStep1Basic","src/components/profile/setup/ProfileSetupStep1Basic.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfileSetupStep2About","src/components/profile/setup/ProfileSetupStep2About.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfileSetupStep3Social","src/components/profile/setup/ProfileSetupStep3Social.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfileSetupStep4Banner","src/components/profile/setup/ProfileSetupStep4Banner.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AIActionsDialog","src/components/project/AIActionsDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AddTrackDialog","src/components/project/AddTrackDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"BannerRequiredDialog","src/components/project/BannerRequiredDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"EditTrackDialog","src/components/project/EditTrackDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LyricsPreviewSheet","src/components/project/LyricsPreviewSheet.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LyricsRequiredDialog","src/components/project/LyricsRequiredDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MinimalProjectTrackItem","src/components/project/MinimalProjectTrackItem.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectAnalysisTab","src/components/project/ProjectAnalysisTab.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectBannerEditor","src/components/project/ProjectBannerEditor.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectCover","src/components/project/ProjectCover.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectCoverEditor","src/components/project/ProjectCoverEditor.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectCreationWizard","src/components/project/ProjectCreationWizard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectDetailsCard","src/components/project/ProjectDetailsCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectDetailsTab","src/components/project/ProjectDetailsTab.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectInfoCard","src/components/project/ProjectInfoCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectLyricsTab","src/components/project/ProjectLyricsTab.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectMediaGenerator","src/components/project/ProjectMediaGenerator.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectMeta","src/components/project/ProjectMeta.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectProgressRing","src/components/project/ProjectProgressRing.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectReadinessIndicator","src/components/project/ProjectReadinessIndicator.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectSettingsSheet","src/components/project/ProjectSettingsSheet.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectTemplateSelector","src/components/project/ProjectTemplateSelector.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectTracklistTab","src/components/project/ProjectTracklistTab.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectTracksGrid","src/components/project/ProjectTracksGrid.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PublishProjectDialog","src/components/project/PublishProjectDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QuickProjectSheet","src/components/project/QuickProjectSheet.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ShareProjectCard","src/components/project/ShareProjectCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"TrackDetailsCard","src/components/project/TrackDetailsCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"TrackParamsEditor","src/components/project/TrackParamsEditor.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"TrackVersionsPanel","src/components/project/TrackVersionsPanel.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"UnifiedProjectCard","src/components/project/UnifiedProjectCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"UnlinkedTracksSection","src/components/project/UnlinkedTracksSection.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"VisualStyleEditor","src/components/project/VisualStyleEditor.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectDialogs","src/components/project/detail/ProjectDialogs.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectHero","src/components/project/detail/ProjectHero.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectQuickActions","src/components/project/detail/ProjectQuickActions.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectTracklistSection","src/components/project/detail/ProjectTracklistSection.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ChannelCard","src/components/prompt-dj/ChannelCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CompactVisualizer","src/components/prompt-dj/CompactVisualizer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ControlPanel","src/components/prompt-dj/ControlPanel.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DrumIntegration","src/components/prompt-dj/DrumIntegration.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"EditablePromptPreview","src/components/prompt-dj/EditablePromptPreview.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"EssentialsKnobGrid","src/components/prompt-dj/EssentialsKnobGrid.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenerateButton","src/components/prompt-dj/GenerateButton.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenreCrossfader","src/components/prompt-dj/GenreCrossfader.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GlobalControls","src/components/prompt-dj/GlobalControls.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"InstrumentSelector","src/components/prompt-dj/InstrumentSelector.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"KnobCell","src/components/prompt-dj/KnobCell.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LiveVisualizer","src/components/prompt-dj/LiveVisualizer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MoodStyleSelector","src/components/prompt-dj/MoodStyleSelector.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PromptDJClean","src/components/prompt-dj/PromptDJClean.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PromptDJErrorBoundary","src/components/prompt-dj/PromptDJErrorBoundary.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PromptDJMidi","src/components/prompt-dj/PromptDJMidi.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PromptDJMixer","src/components/prompt-dj/PromptDJMixer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PromptDJOnboarding","src/components/prompt-dj/PromptDJOnboarding.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PromptKnob","src/components/prompt-dj/PromptKnob.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PromptKnobEnhanced","src/components/prompt-dj/PromptKnobEnhanced.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QuickMixPresets","src/components/prompt-dj/QuickMixPresets.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QuickPresets","src/components/prompt-dj/QuickPresets.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QuickStartSheet","src/components/prompt-dj/QuickStartSheet.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"RealisticKnob","src/components/prompt-dj/RealisticKnob.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SmartPresetsPanel","src/components/prompt-dj/SmartPresetsPanel.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SmartSuggestions","src/components/prompt-dj/SmartSuggestions.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"StyleCrossfader","src/components/prompt-dj/StyleCrossfader.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"TrackHistoryItem","src/components/prompt-dj/TrackHistoryItem.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"Visualizer","src/components/prompt-dj/Visualizer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"VoiceInput","src/components/prompt-dj/VoiceInput.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AvatarUpload","src/components/settings/AvatarUpload.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"HintsSettings","src/components/settings/HintsSettings.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MidiSettingsSection","src/components/settings/MidiSettingsSection.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PrivacySettings","src/components/settings/PrivacySettings.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProfileEmojiPicker","src/components/settings/ProfileEmojiPicker.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SettingsSidebar","src/components/settings/SettingsSidebar.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ThemeSettings","src/components/settings/ThemeSettings.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"UserStatsSection","src/components/settings/UserStatsSection.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ActivityFeed","src/components/social/ActivityFeed.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ActivityItem","src/components/social/ActivityItem.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"FollowButton","src/components/social/FollowButton.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"FollowingFeed","src/components/social/FollowingFeed.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ArrangementReplacementDialog","src/components/stem-studio/ArrangementReplacementDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DAWMixerPanel","src/components/stem-studio/DAWMixerPanel.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DAWTimeline","src/components/stem-studio/DAWTimeline.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DAWTrackLane","src/components/stem-studio/DAWTrackLane.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"EffectsIndicator","src/components/stem-studio/EffectsIndicator.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
